caseid,resource,processing,waiting,avg_process_time,avg_waiting_time,cycle_time,start_time
20,"['Role 1', 'Role 2', 'Role 2', 'Role 4', 'Role 8', 'Role 4', 'Role 4', 'Role 4', 'Role 1', 'Role 8', 'Role 4', 'Role 4', 'Role 11', 'Role 11', 'Role 8', 'Role 4', 'Role 11', 'Role 16', 'Role 16', 'Role 16']","[1944.549, 117.02, 87.285, 1405.639, 545.017, 1413.879, 1876.481, 7331.383, 1592.629, 0.0, 17222.996, 472.994, 1299.473, 138188.7, 60.0, 60.0, 0.0, 153.528, 0.0, 768.324]","[0.0, 0.0, 0.0, 2409.669, 0.0, 2043.415, 7293.428, 33629.842, 0.0, 0.0, 6268.775, 8451.795, 88726.24, 4203.802, 0.0, 13414.554, 16813.265, 0.0, 0.0, 0.0]",8726.99485,9162.739250000002,357794.68200000003,2017-08-18 04:04:45.201000
21,"['Role 1', 'Role 2', 'Role 2', 'Role 4', 'Role 8', 'Role 4', 'Role 8', 'Role 4', 'Role 4', 'Role 4', 'Role 1', 'Role 8', 'Role 4', 'Role 4', 'Role 11', 'Role 11', 'Role 8', 'Role 4', 'Role 11', 'Role 16', 'Role 16', 'Role 16']","[645.445, 107.639, 77.003, 1803.439, 749.505, 1375.732, 799.267, 1588.557, 3289.132, 19704.22, 1551.534, 0.0, 49209.676, 565.236, 1569.514, 106135.969, 60.0, 60.0, 0.0, 130.393, 0.0, 607.867]","[0.0, 0.0, 0.0, 6772.827, 0.0, 33381.086, 0.0, 7903.226, 6572.954, 17428.981, 0.0, 0.0, 15905.568, 5497.77, 3984.452, 106307.617, 0.0, 6818.919, 235551.389, 0.0, 0.0, 0.0]",8637.733090909092,20278.3995,636154.917,2017-08-18 06:15:38.749000
22,"['Role 1', 'Role 2', 'Role 2', 'Role 4', 'Role 4', 'Role 4', 'Role 1', 'Role 8', 'Role 4', 'Role 4', 'Role 11', 'Role 11', 'Role 8', 'Role 4', 'Role 11', 'Role 16', 'Role 16', 'Role 16']","[1737.209, 212.986, 104.906, 1473.681, 1001.818, 4901.737, 492.312, 0.0, 17250.718, 598.942, 1973.746, 13487.053, 60.0, 60.0, 0.0, 256.366, 0.0, 366.051]","[0.0, 0.0, 0.0, 6889.269, 35369.455, 5471.509, 0.0, 0.0, 4468.037, 3936.718, 89426.771, 39174.081, 0.0, 7727.783, 99829.024, 0.0, 0.0, 0.0]",2443.195833333333,16238.48038888889,336270.172,2017-08-18 07:04:41.642000
23,"['Role 1', 'Role 2', 'Role 2', 'Role 4', 'Role 4', 'Role 4', 'Role 1', 'Role 8', 'Role 4', 'Role 4', 'Role 11', 'Role 11', 'Role 8', 'Role 4', 'Role 11', 'Role 16', 'Role 16', 'Role 16', 'Role 16']","[1543.94, 367.881, 76.717, 2513.675, 577.442, 18902.027, 1978.273, 0.0, 38374.961, 573.265, 925.996, 77222.276, 60.0, 60.0, 0.0, 181.741, 1583.257, 0.0, 893.915]","[0.0, 0.0, 0.0, 35177.352, 7686.824, 1962.637, 0.0, 0.0, 15882.372, 17295.231, 22713.783, 92234.99, 0.0, 15512.027, 262583.061, 0.0, 0.0, 0.0, 0.0]",7675.545578947371,24792.014578947368,616883.643,2017-08-18 09:46:05.076000
24,"['Role 1', 'Role 2', 'Role 2', 'Role 4', 'Role 8', 'Role 4', 'Role 4', 'Role 4', 'Role 1', 'Role 8', 'Role 4', 'Role 4', 'Role 11', 'Role 11', 'Role 8', 'Role 4', 'Role 11', 'Role 16', 'Role 16', 'Role 16']","[2808.712, 639.17, 136.221, 1607.84, 949.681, 1206.522, 1059.971, 12443.277, 1817.805, 0.0, 21943.686, 669.391, 1355.792, 104567.096, 60.0, 60.0, 0.0, 404.119, 0.0, 516.863]","[0.0, 0.0, 0.0, 32861.363, 0.0, 5706.745, 19658.142, 4357.397, 0.0, 0.0, 4458.93, 11579.86, 37792.318, 52000.592, 0.0, 24199.091, 265803.719, 0.0, 0.0, 0.0]",7612.307300000002,22920.90785,610664.3030000001,2017-08-18 10:39:59.175000
25,"['Role 1', 'Role 2', 'Role 2', 'Role 4', 'Role 8', 'Role 4', 'Role 8', 'Role 4', 'Role 4', 'Role 4', 'Role 1', 'Role 8', 'Role 4', 'Role 4', 'Role 11', 'Role 11', 'Role 8', 'Role 4', 'Role 11', 'Role 16', 'Role 16', 'Role 16']","[1576.814, 228.258, 125.737, 2027.161, 886.679, 1460.521, 211.988, 1541.361, 632.587, 15998.117, 1218.944, 0.0, 24905.298, 739.973, 1967.469, 147093.85, 60.0, 60.0, 0.0, 268.307, 0.0, 714.792]","[0.0, 0.0, 0.0, 9960.507, 0.0, 19554.672, 0.0, 18209.974, 15283.154, 19311.427, 0.0, 0.0, 12681.188, 15414.389, 125555.486, 11570.876, 0.0, 28938.765, 114800.501, 0.0, 0.0, 0.0]",9168.993454545453,17785.49722727273,592998.7949999999,2017-08-18 19:34:55.451000
26,"['Role 1', 'Role 2', 'Role 2', 'Role 4', 'Role 4', 'Role 4', 'Role 1', 'Role 8', 'Role 4', 'Role 4', 'Role 11', 'Role 11', 'Role 8', 'Role 4', 'Role 11', 'Role 16', 'Role 16', 'Role 16']","[2958.432, 184.652, 66.271, 2003.203, 1101.627, 9325.644, 817.82, 0.0, 28018.3, 765.82, 517.624, 66820.133, 60.0, 60.0, 0.0, 214.782, 0.0, 591.561]","[0.0, 0.0, 0.0, 10181.198, 17960.12, 22673.887, 0.0, 0.0, 4696.73, 5202.32, 29852.496, 113879.678, 0.0, 5791.344, 240804.716, 0.0, 0.0, 0.0]",6305.881611111112,25057.916055555554,564548.358,2017-08-19 01:48:45.247000
27,"['Role 1', 'Role 2', 'Role 2', 'Role 4', 'Role 4', 'Role 4', 'Role 1', 'Role 8', 'Role 4', 'Role 4', 'Role 11', 'Role 11', 'Role 8', 'Role 4', 'Role 11', 'Role 16', 'Role 16', 'Role 16']","[2064.199, 272.266, 117.758, 730.201, 1524.161, 6632.829, 1268.158, 0.0, 15483.001, 711.093, 1920.857, 136451.79, 60.0, 60.0, 0.0, 208.294, 0.0, 306.01]","[0.0, 0.0, 0.0, 10400.551, 31269.33, 17173.231, 0.0, 0.0, 6934.471, 11968.533, 120134.454, 25076.461, 0.0, 42148.283, 114640.725, 0.0, 0.0, 0.0]",9322.812055555558,21097.00216666667,547556.6560000001,2017-08-19 07:48:45.976000
28,"['Role 1', 'Role 2', 'Role 2', 'Role 4', 'Role 8', 'Role 4', 'Role 4', 'Role 4', 'Role 1', 'Role 8', 'Role 4', 'Role 4', 'Role 11', 'Role 11', 'Role 8', 'Role 4', 'Role 11', 'Role 16', 'Role 16', 'Role 16']","[3033.548, 170.185, 56.199, 1297.114, 702.738, 2546.0, 939.89, 9141.559, 474.545, 0.0, 23221.428, 642.065, 2015.667, 140937.158, 60.0, 60.0, 0.0, 402.22, 0.0, 611.043]","[0.0, 0.0, 0.0, 31855.804, 0.0, 23423.195, 4751.317, 14526.701, 0.0, 0.0, 16168.632, 32126.423, 70958.613, 52320.034, 0.0, 17112.089, 91660.578, 0.0, 0.0, 0.0]",9315.56795,17745.1693,541214.745,2017-08-19 10:44:53.441000
29,"['Role 1', 'Role 2', 'Role 2', 'Role 4', 'Role 8', 'Role 4', 'Role 4', 'Role 4', 'Role 1', 'Role 8', 'Role 4', 'Role 4', 'Role 11', 'Role 11', 'Role 8', 'Role 4', 'Role 11', 'Role 16', 'Role 16', 'Role 16', 'Role 16']","[2032.291, 61.582, 87.417, 2590.943, 642.973, 1519.948, 831.225, 18241.288, 1829.119, 0.0, 18166.767, 694.081, 1395.129, 148545.271, 60.0, 60.0, 0.0, 218.594, 1513.282, 0.0, 421.18]","[0.0, 0.0, 0.0, 8929.027, 0.0, 23537.138, 5476.195, 19407.528, 0.0, 0.0, 19872.297, 22104.615, 65927.059, 116440.708, 0.0, 5163.157, 32525.921, 0.0, 0.0, 0.0, 0.0]",9471.956666666669,15208.744999999999,518294.735,2017-08-19 17:59:53.571000
